can_smiles,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,benzene,six_N1,six_N2,six_N3,six_N4,five_N1,five_N2,five_N3,five_N4,five_N1O1,five_N2O1,five_N3O1,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,c_NO2,NO2_content,Num_benzene,Num_six_N1,Num_six_N2,Num_six_N3,Num_six_N4,Num_five_N1,Num_five_N2,Num_five_N3,Num_five_N4,ring_content,con_rings,axis_symmetry,count_3n,T,bde_gnn
CN([N+]([O-])=O)C1=NC(N([N+]([O-])=O)C)=C([N+]([O-])=O)C(N[N+]([O-])=O)=C1[N+]([O-])=O,1,19,0,0,0,0,1,1,11,1,19,1,8,0,1,0,0,5,0,0,377.1860000000001,0.35326659854533876,-0.258112279,11.224587112622828,0.07909674981103532,-1.49250189,247.09999999999997,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,2,5,0,0,0,5,0,0,0,0,0,0,1.2917592592592595,0,0,0,0,0,0,0,0,0,-6.82787415,0,0,0,0,0,0,1.1733938019652306,0,0,0,0,3.248030990173847,-0.1581935,-6.657222222,0,0,0,54.881719576719576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5522057203458075,0.6000968601232272,4141.3033975706585,0.8458994923154532,0.3340526954871072,-0.318145424,7,7,10,9,3,0,0,0,2,0.6060606060606061,0,1,0,0,0,0,0,0,0,0.18181818181818182,1,0,0,124.6,135.9849
FC([N+]([O-])=O)(C1=NN(N=NN2C3=NC(C([N+]([O-])=O)(F)[N+]([O-])=O)=N2)C3=N1)[N+]([O-])=O,0,20,0,0,0,0,3,3,16,0,22,3,6,0,0,0,0,4,0,0,406.13800000000015,0.6795157426046996,-0.255509834,14.147690315336419,0.18322231670445954,-4.514819539,258.71999999999997,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.297195872,-1.715702003,-9.029639078,0,0,0,0,0,0,0,0,0,18.645953955656335,0,-7.85831122,0.3664446334089191,0,0,42.879867809893064,0,0,28.295380630672835,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.1945380142449618,0.9608389944212614,6495.753005452204,0.7824335901430329,0.4136525023514174,-0.157581906,6,0,8,12,0,0,0,2,0,0.5,0,0,0,0,1,0,0,2,0,0.5714285714285714,3,0,0,167,83.64592
FC1=C(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O,2,26,0,0,0,3,0,3,18,2,27,3,12,0,2,0,0,8,8,2,638.3060000000003,0.30619079420990736,-0.336072318,16.002045540438395,0.04180555555555543,-2.236298711,369.17999999999995,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0.5423868312757194,0,0,0,0,-20.12436443,0,0,0,0,0,0,3.274130615923545,0,0,0,0,0,0,-11.37463413,0,0,0,92.17355111949665,0,0,16.002045540438395,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.21777650688512087,0.9359346366543712,14529.30370786332,0.9696155335844756,0.21933054052445047,-0.589059166,18,7,16,10,0,0,0,0,8,0.6153846153846154,3,0,0,0,0,0,0,0,0,0.34615384615384615,0,0,0,226,289.61115
FC1=C(NC2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3,2,20,0,0,0,3,0,3,14,2,21,3,10,0,2,0,0,6,6,2,548.3120000000002,0.3022605243645973,-0.341789055,15.676129062736203,0.25217592592592575,-1.809072709,282.9,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4.160568611421509,0,0,0,0,-11.68044054,0,0,0,0,0,0,4.050548321894823,0,0,0,0,0,0,-6.745198765,0,0,0,67.93586331968737,0,0,15.676129062736203,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5717315148386101,0.6377549809347395,10100.068416279288,1.1296574488276907,0.20426326616962584,-0.831643298,18,9,12,8,0,0,0,0,6,0.5,3,0,0,0,0,0,0,0,0,0.375,0,0,0,313,269.88733
N#[N+]C1=N[N-]C2=C1C(NC3=NON=C23)=N[N+]([O-])=O,1,12,0,0,0,0,3,3,7,1,12,3,1,0,1,0,0,1,0,0,247.134,0.45993545233572086,-0.450416385,10.43374220521542,0.05314814814814839,-0.917884543,165.35,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215972222,0.512025699168557,0,0,0,0,0,0,2.515185185185185,8.743387424414209,0,3.1042592592592593,14.268484977324263,0,-0.917884543,0,0,0,10.43374220521542,0,4.4722399376417235,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0.4168944130211327,0.5992678669271464,2122.719729213886,0.11548016693495367,0.5098448614921459,-0.615050944,6,1,3,9,1,0,0,0,0,0.21052631578947367,0,1,0,0,0,0,2,0,0,0.8421052631578947,3,0,0,181,269.3208
N(N=NN(N=C1C2=NN=NN2)N=C1C3=NN=NN3)(N=C4C5=NN=NN5)N=C4C6=NN=NN6,4,24,0,0,0,0,6,6,20,4,24,6,6,0,4,0,0,0,0,0,436.2880000000001,0.202020929123318,-0.237378097,4.162647077349458,0.20395868080933055,0.20395868080933055,303.97999999999996,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,2,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6594317010550814,0,0,0,0,0,0,0,10.270881148688758,0,0,7.726742252456538,59.91750870480392,0,0,1.7587695263290495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0.28822662912516117,0.8887904955819703,6960.6129808417,1.0250343511532654,0.7701334898048994,-0.66011442,8,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.8333333333333334,0,0,0,263,258.8658
N/C(NC1=C(C([N+]([O-])=O)=NN1)[N+]([O-])=O)=N\[N+]([O-])=O,4,14,0,0,0,0,1,1,7,3,14,1,4,0,2,1,0,3,0,0,260.12600000000003,0.46941979800676814,-0.364357824,10.59838955026455,0.5881481481481476,-1.153821492,208.51,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804029667,-2.659536092,0,0,0,5.018043272864701,0,0,1.9203703703703705,1.9133172713529856,0,0,2.5925132275132277,3.060454459561602,0,-3.344243512,0,0,0,30.984888668430337,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21669835978762275,0.8463197749104158,2834.056132835137,0.4589310954635394,0.4305605744908238,-0.246034614,4,4,6,8,1,0,0,0,2,0.5454545454545454,0,0,0,0,0,0,1,0,0,0.22727272727272727,1,0,0,221,148.461
N/C(NC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O)=N/[N+]([O-])=O,3,15,0,0,0,1,0,1,8,2,15,1,5,0,1,1,0,4,3,1,315.158,0.3062782518993831,-0.364391898,10.88088955026455,0.43925925925925924,-1.244652778,222.96999999999997,0,0,0,0,0,2,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.8785185185185187,0,0,0,-0.981432351,-3.914599658,0,0,0,5.0607303476946335,0,0,1.8194283824640967,0,0,0,2.557539840010078,0,0,-4.617873205,0,0,0,42.515510728982946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5453286136697747,0.8343874761510683,2630.9084335524053,0.78601017602724,0.31095513996154317,-0.431529582,7,5,8,7,1,0,0,0,3,0.5925925925925926,1,0,0,0,0,0,0,0,0,0.2222222222222222,1,0,0,211,118.34714
N/C(NC1=NC(N/C(N)=N/[N+]([O-])=O)=C(C(N)=C1[N+]([O-])=O)[N+]([O-])=O)=N\[N+]([O-])=O,8,20,0,0,0,0,1,1,10,5,20,1,6,0,2,3,0,4,0,0,388.21700000000016,0.34125205128833436,-0.387246689,11.150349741748553,0.9003675359032492,-1.246226091,312.29,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,2,0,0,0,2,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.969011821,-5.198999013,0,0,0,15.69359320113108,0,0,3.72146022297808,0,0,0,5.200760847497861,3.4180990173847317,0,-4.862781924,0,0,0,42.83177306806816,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.39841473597419763,0.6796517599555061,5125.684883899148,0.4384104270190467,0.4327476643217582,-0.412140633,7,8,8,12,2,0,0,0,2,0.45714285714285713,0,1,0,0,0,0,0,0,0,0.17142857142857143,1,0,0,225,179.4612
N/N=C1C2=NN=NN2N=C(NN)C\1=N\N,7,11,0,1,1,0,1,1,11,4,11,2,0,0,1,3,0,0,0,0,209.17700000000002,0.22921978984197613,-0.322496473,5.2171126228269085,0.16805555555555585,0.16805555555555585,170.77,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5502314814814824,0.23675925925925934,0,0,0,15.554780801209372,0,0,2.2863425925925926,0,0,0,10.820138888888888,10.611700680272108,0,0,1.1067129629629628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4455691716537958,0.5643461324598666,1517.6412759066648,0.22807572462934322,0.7362186091205052,-0.879637819,4,7,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,2,0,0,239,378.98474
N=C(NC1=C(C([N+]([O-])=O)=NN1)[N+]([O-])=O)N,5,11,0,0,0,0,1,1,6,4,11,1,3,0,3,1,0,2,0,0,215.129,0.46941976971341026,-0.36983067,10.479448223733938,0.40351851851851817,-1.013938964,176.86,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.600325964,-2.210046296,0,0,0,4.910821050642479,0,6.812462207105064,2.026898148148148,2.0031018518518517,0,0,0,3.109490740740741,0,-2.007087113,0,0,0,20.810676020408163,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2645708576544461,0.7879912298658006,1689.882253675267,0.45062285183704587,0.4555406291109054,-0.483430872,4,5,4,7,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0,0,0.25,1,0,0,249,306.03366
NC(C1=NON=C1N=C2N)=C2C3=NN=NN3,5,10,0,0,0,0,3,3,9,3,10,3,1,0,1,2,0,0,0,0,219.168,0.22773437933990073,-0.396046068,5.857407407407408,0.1520833333333338,0.1520833333333338,158.30999999999997,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1131018518518534,0.561874527588814,0,0,11.579166666666666,0,0,0,2.5409618291761147,0,0,0,21.691713435374147,0,0,0,0,0,0,0,4.513181689342404,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.22794409248561437,0.8100897754221092,1725.5929220775763,0.29220915636622385,0.5749014454664912,-0.985545335,6,5,1,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.7619047619047619,2,0,0,345,333.9322
NC(N1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1N=N2)=C2C3=NN=NN3,3,19,0,0,0,0,3,3,15,2,19,3,5,0,1,1,0,3,0,0,353.175,0.764591556377831,-0.381555188,11.054403106947298,0.061998141849332056,-4.033634574,265.86999999999995,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,1,0,0,0,7,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.955101883,-0.542917139,-4.033634574,0,5.727958238851096,0,0,0,2.309759897014361,0,0,0,23.878374717789626,0,-5.230140306,0.6026157407407406,0,0,33.163209320841894,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.16863605229164744,0.9588142153217729,4934.028780463183,0.5709080095244463,0.5153252636794791,-0.339774899,6,3,6,13,0,0,1,0,0,0.35714285714285715,0,0,0,1,0,0,0,1,1,0.5714285714285714,2,0,0,143,118.11144
NC(N1N=C2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C(C3=NN=NN3)C=NC1=C2[N+]([O-])=O,3,20,0,0,0,0,3,3,15,2,20,3,6,0,1,1,0,4,0,0,396.1960000000001,0.7541831450661374,-0.382912087,11.401302595112119,0.0873193814562856,-4.364583648,283.22999999999996,0,0,0,0,0,1,0,0,0,0,5,1,1,0,1,0,0,0,1,0,0,0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9141666666666666,0,0,0,0,-3.781031589,-0.802176398,-4.364583648,0,5.776898148148148,0,0,0,2.2961721702569915,0,0,0,17.001772771455535,0,-7.080589175,0.4132638888888889,0,0,45.18805358262069,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.23771237940627046,0.8970093404671569,5510.522603683544,0.5499283449408128,0.4240325495461842,-0.403840523,8,4,8,12,0,0,1,0,1,0.4375,0,0,1,0,0,0,1,0,1,0.5,2,0,0,155,123.02753
NC(NC1=NC(NC(N)=N)=C(C(N)=C1[N+]([O-])=O)[N+]([O-])=O)=N,10,14,0,0,0,0,1,1,8,7,14,1,4,0,4,3,0,2,0,0,298.223,0.3412489034633093,-0.38724669,10.956717057193249,0.5978240740740739,-1.015720427,248.98999999999998,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,2,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.402540627,-3.872033258,0,0,0,15.492955089443186,0,14.06430366591081,4.059480347694633,0,0,0,0,3.529074074074074,0,-2.031440854,0,0,0,21.913434114386497,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4913873806905847,0.5647384341737084,3158.0106275628686,0.46818543894949693,0.4694473598615803,-0.804766903,7,10,4,10,0,0,0,0,2,0.25806451612903225,0,1,0,0,0,0,0,0,0,0.1935483870967742,1,0,0,187,330.95514
NC1=C([N+]([O-])=NC2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN12)C3=NN=NN3,3,20,0,0,0,0,3,3,15,2,20,3,5,0,1,1,0,3,0,0,369.1740000000001,0.764593918563634,-0.593558917,11.940240457294028,0.1413888888888888,-4.123203735,279.91999999999996,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,1,0,0,0,6,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.850287069,-0.765139361,-4.123203735,0,5.670458238851096,0,0,0,2.1922598970143614,0,0,0,19.678400227993706,0,-5.403290816,0.3237268518518521,0,0,33.210084320841894,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.17621652382910521,0.9369816743505214,5304.262747287876,0.5607477785377349,0.4929924642580464,-0.28170998,6,3,7,13,0,0,1,0,0,0.3448275862068966,0,0,0,1,0,0,0,1,1,0.5517241379310345,2,0,0,146,124.5768
NC1=C([N+]([O-])=O)C(N)=NN2C1=NC=C2[N+]([O-])=O,4,11,0,0,0,0,2,2,9,2,11,2,2,0,0,2,0,2,0,0,239.151,0.36827075213280025,-0.388052844,10.66160194633409,0.18277777777777748,-0.82125,168.51,0,0,0,0,0,1,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.8907331821617535,0,0,0,0,-1.969448224,-0.182777778,0,0,10.779268707482993,0,0,0,0,0,0,0,7.104907407407407,0,-1.573518519,0.7476851851851849,0,0,21.268241685563112,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.24442855755428122,0.7840880354452695,2065.758867589705,0.11430892083675066,0.4097829404853,-0.702485041,6,5,4,7,0,0,0,0,2,0.36363636363636365,0,0,1,0,0,0,1,0,0,0.5,2,0,0,324,303.6439
NC1=C([N+]([O-])=O)C(NC(N)=N)=NC=C1[N+]([O-])=O,6,11,0,0,0,0,1,1,7,4,11,1,3,0,2,2,0,2,0,0,241.167,0.3410769704550822,-0.387321512,10.71055933484505,0.4253703703703702,-0.943842593,187.08999999999997,0,0,0,0,0,1,0,0,0,1,4,0,0,0,2,0,1,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.7436574074074074,0,0,0,-0.602913832,-2.565229592,0,0,0,10.263419312169312,0,6.9074431531872005,2.0673913454270596,0,0,0,0,3.426851851851852,0,-1.839794501,0,0,0,21.216254094230287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.32069043531334696,0.7419344062295082,2178.4349237409197,0.4610937375882586,0.40635742037675127,-0.762956789,6,7,4,7,0,0,0,0,2,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.25,1,0,0,217,312.42044
NC1=C([N+]([O-])=O)C(NC2=C([N+]([O-])=O)C(N[N+]([O-])=O)=NN12)=O,4,15,0,0,0,0,2,2,10,3,15,2,4,0,2,1,0,3,0,0,300.14700000000005,0.37502812798146573,-0.377666066,11.506535808767952,0.4618055555555556,-1.304950869,217.62999999999997,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,1,0,0,0,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.690699169,-0.627361111,0,0,5.352487717309145,0,0,1.440659013605442,1.843039493575208,0,0,0,3.3804166666666666,0,-3.29703688,0.4618055555555556,0,0,43.47408769526329,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.27177603508387227,0.7455638424647987,3515.790921059765,0.1755104434180503,0.3731504895934326,-0.37315049,6,4,7,8,1,0,0,0,2,0.48,0,0,1,0,0,0,1,0,0,0.44,2,0,0,105,169.01779
NC1=C([N+]([O-])=O)C(NC2=C([N+]([O-])=O)C=NN12)=O,3,11,0,0,0,0,2,2,8,2,11,2,2,0,1,1,0,2,0,0,240.135,0.3750268380299208,-0.377667077,11.327314814814816,0.3026851851851846,-1.121666667,162.46,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.8386498488284202,0,0,0,0,-1.971253779,-0.302685185,0,0,5.350421390778534,0,0,0,1.9919907407407407,0,0,0,3.4990277777777776,0,-1.773148148,0.7337962962962963,0,0,32.45775793650794,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2309698469917314,0.7870746113449213,2100.775469265446,0.10435520189789942,0.34980323567993,-0.59966269,6,4,5,6,0,0,0,0,2,0.38095238095238093,0,0,1,0,0,0,1,0,0,0.5238095238095238,2,0,0,288,300.10297
NC1=C([N+]([O-])=O)C=NC2=C([N+]([O-])=O)C([N+]([O-])=O)=NN12,2,13,0,0,0,0,2,2,10,1,13,2,3,0,0,1,0,3,0,0,269.133,0.47030847685920374,-0.376178001,10.764489323507181,0.49444444444444446,-1.09912037,185.62999999999997,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.6697146636432354,0,0,0,0,-3.331211262,-0.541851852,0,0,5.376027966742252,0,0,0,0,0,0,0,6.680185185185184,0,-3.043703704,0.49444444444444446,0,0,32.01486394557823,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.2267601953418547,0.7931020504839894,2785.316458455071,0.17957882182678675,0.3641322320191133,-0.445876202,6,3,6,7,0,0,0,0,3,0.5454545454545454,0,0,1,0,0,0,1,0,0,0.5,2,0,0,287,263.80667
NC1=C([N+]([O-])=O)C=NC2=C([N+]([O-])=O)C=NN12,2,10,0,0,0,0,2,2,8,1,10,2,2,0,0,1,0,2,0,0,224.136,0.33315342468030085,-0.377802704,10.543655990173848,0.13138888888888856,-0.740787037,142.48999999999998,0,0,0,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.7934183673469388,0,0,0,0,-1.115559335,-0.131388889,0,0,5.4295880574452,0,0,0,0,0,0,0,7.14712962962963,0,-1.43462963,0.8574074074074074,0,0,21.060350529100532,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.19713806285837196,0.8183949493481978,1948.0808951824165,0.10379987746122335,0.3747724595781132,-0.713852304,6,4,4,6,0,0,0,0,2,0.4,0,0,1,0,0,0,1,0,0,0.55,2,0,0,281,287.5935
NC1=C([N+]([O-])=O)N=NC2=NC(C3=NON=C3[N+]([O-])=O)=NN12,2,15,0,0,0,0,3,3,13,1,15,3,3,0,0,1,0,2,0,0,294.147,0.4455596932568742,-0.376352675,10.720462543041908,0.20333522297807938,-0.857904069,207.18999999999997,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,6,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.543035058,-0.203335223,0,0,5.507436933106576,0,0,0,0,0,0,0,20.602086876417232,0,-1.710074326,0.8044368858654571,0,0,21.39968358948518,0,4.243116732804233,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0.17129619057470286,0.8450114233010445,3727.6437133153604,0.24289262340773995,0.4759524999405059,-0.435156571,6,2,5,10,0,0,0,0,2,0.34782608695652173,0,0,0,1,0,0,1,1,0,0.6956521739130435,2,0,0,247,257.23676
NC1=C(C#N)N=NC2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN12,2,16,0,0,0,0,2,2,13,1,16,2,4,0,0,1,1,3,0,0,310.1460000000001,0.7645915594740799,-0.381051456,10.902999338624339,0.44642668178382405,-4.03477525,235.19999999999996,0,0,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,1,0,0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514827333711262,0,-2.32255291,-0.582013889,-4.03477525,0,5.440319349962207,0,0,0,0,8.690545280612247,0,0,13.088028155706727,0,-5.301795399,0.5060879629629631,0,0,32.708998015873014,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2402505678146437,0.9421839831105177,3204.0616285816377,0.48206584377844713,0.45140030824192473,-0.361120247,6,2,6,10,0,0,1,0,0,0.4166666666666667,0,0,0,1,0,0,0,1,0,0.4583333333333333,2,0,0,169,94.27695
NC1=C(C(N)=NN1C2=NN3N=NN=C3C(N)=C2[N+]([O-])=O)[N+]([O-])=O,6,16,0,0,0,0,3,3,14,3,16,3,3,0,0,3,0,2,0,0,322.2050000000001,0.3540977290420761,-0.38980998,11.279028722600152,0.17254703115814185,-0.876083081,238.13,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,5,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.479157218,-0.172547031,0,0,16.663000125976318,0,0,0,0,0,0,0,17.578994394053918,0,-1.741667926,1.4205262660619802,0,0,22.198759028302682,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.265122591642726,0.8154354314956933,3805.5615885327034,0.7531924134240282,0.5214071786595491,-0.645551745,7,6,4,12,0,0,0,0,2,0.27586206896551724,0,0,1,0,0,0,1,0,1,0.5517241379310345,2,0,0,281,283.3383
NC1=C(C(N/C(N)=N\[N+]([O-])=O)=NN2N=NN=C12)[N+]([O-])=O,5,15,0,0,0,0,2,2,10,3,15,2,3,0,1,2,0,2,0,0,283.16800000000006,0.33982239833907857,-0.389811137,10.964988189720334,0.14626254514151316,-1.090203452,218.67999999999995,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,1,0,0,0,1,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.724606954,-1.559628685,-0.146262545,0,0,10.720616024187454,0,0,2.08287037037037,0,0,0,2.7116855631141346,13.6989630574452,0,-1.952518267,0.7957407407407406,0,0,21.10323701394138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5089743149202091,0.7245616364019386,2287.7518615819795,0.7705378683615011,0.5438467623460279,-0.480280258,5,5,4,11,1,0,0,0,1,0.32,0,0,1,0,0,0,0,0,1,0.44,2,0,0,217,107.705086
NC1=C(C(N[N+]([O-])=O)=O)N=NC2=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN12,3,20,0,0,0,0,2,2,15,2,20,2,6,0,1,1,0,4,0,0,373.1580000000001,0.7645915564118662,-0.381497884,11.526523644179896,0.2940896636432351,-4.177183957,283.65,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,0,1,0,0,0,0,4,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.469405549,-3.248206045,-0.773075869,-4.177183957,0,5.445509259259259,0,0,1.170871008125473,0,0,0,0,12.70840057319224,0,-6.818548702,0.2940896636432351,0,0,54.738703297772794,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.13858247082702715,0.9635392000568415,6238.727825538779,0.5833887887814899,0.4126938187041414,-0.192947759,6,3,9,11,1,0,1,0,0,0.4827586206896552,0,0,0,1,0,0,0,1,0,0.3793103448275862,2,0,0,142,119.16016
