can_smiles,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,benzene,six_N1,six_N2,six_N3,six_N4,five_N1,five_N2,five_N3,five_N4,five_N1O1,five_N2O1,five_N3O1,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,c_NO2,NO2_content,Num_benzene,Num_six_N1,Num_six_N2,Num_six_N3,Num_six_N4,Num_five_N1,Num_five_N2,Num_five_N3,Num_five_N4,ring_content,con_rings,axis_symmetry,count_3n,T,bde_gnn
[O-][N+](ON=C1CN2N=C(N=C2)/N=N/C3=NN(CC4=NO[N+]([O-])=C4C)C=N3)=C1C,0,16,0,0,0,0,4,4,14,0,16,4,6,0,0,0,0,0,0,0,388.30800000000016,0.2870269894657417,-0.359321416,11.198833574944091,0.07614846760048799,0.07614846760048799,192.07999999999998,2,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,0,0,0,0,2,0,0,0,0,3.157713526490787,0,0.3824127294277977,0,0,2.823755326733182,0,0,0,0,1.6608394635051331,0,0,0,0,0,0,0,0,0,0,7.706027179390274,23.407852418206232,0,0,3.4776801155066606,0,0,0,0,8.986052090851752,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0.12321745258440187,0.9768489543481673,9955.039121856225,0.9604458613025606,0.4326462498841127,-1.071314524,12,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.5,0,0,0,197,209.5182
[O-][N+]1=C(C)C(CN2C=NC([N+]([O-])=O)=N2)=NO1,0,10,0,0,0,0,2,2,8,0,10,2,3,0,0,0,0,1,0,0,226.152,0.4904534848930788,-0.389691473,10.87743890148652,0.08870370370370351,-0.708400967,126.82000000000001,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,0,1,0,0,0,0,1.518030360292265,0,0.08870370370370351,0,0,1.1819406651549507,0,0,0,0,0.11490646258503423,0,0,0,0,0,0,0,0,0,0,0,10.50841553287982,0,-0.708400967,1.448076656588561,0,0,10.316713907785337,0,4.337460868606702,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.23062315319630217,0.9066856187031563,2024.0063913490135,0.7689074842818232,0.371431603523294,-0.778237645,6,6,4,6,0,0,0,0,1,0.18181818181818182,0,0,0,0,0,0,1,1,0,0.45454545454545453,0,0,0,239,224.1552
[O-][N+]1=C(C)C(CN2N=NN=C2/N=N/C3=NN=NN3CC4=NO[N+]([O-])=C4C)=NO1,0,18,0,0,0,0,4,4,16,0,18,4,6,0,0,0,0,0,0,0,390.2840000000002,0.288104731263996,-0.359321416,11.274203341875253,0.017977450239355486,0.017977450239355486,217.85999999999996,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,8,0,0,4,0,0,0,0,2,0,0,0,0,3.075431304742133,0,0.08035978818626743,0,0,0,0,0,0,0,1.2247214489906544,0,0,0,0,0,0,0,0,0,0,7.811255826404636,29.22150721589741,0,0,3.049869800015765,0,0,0,0,8.988447932012631,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.40390600124779247,0.9756240008370218,5119.7636001114815,1.2125612926064304,0.502198399114491,-0.860911541,10,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.5263157894736842,0,0,0,194,247.03151
[O-]C1=N[N+](C2=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1,1,17,0,0,0,0,2,2,12,1,17,2,5,0,1,0,0,3,0,0,303.107,0.7792933248668416,-0.525566481,10.782575795750398,0.326319916855631,-3.990237741,236.84999999999997,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.195864827,0,-3.990237741,0,0,0,0,0,1.6677928949357521,0,0,0,12.399138794406651,0,-5.299960554,0.326319916855631,0,0,32.3477273872512,0,4.006925311791384,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.2266401144522821,0.9392127176539725,3245.940494788352,0.5011494653898689,0.41569478764924594,-0.02639332,4,1,8,9,0,0,1,0,0,0.45454545454545453,0,0,0,0,0,0,0,2,0,0.45454545454545453,0,0,0,128,101.49278
C=CC(N1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1)=O,0,9,0,0,0,0,1,1,7,0,9,1,3,0,0,0,0,2,0,0,212.12099999999998,0.4678002852183976,-0.357561885,10.961388888888889,0.4893518518518518,-1.03670446,121.16999999999999,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,3.115538548752834,0,0,0.8337811791383221,0.6687962962962963,0,0,0,-0.785925926,-1.814444444,0,0,0,0,0,0,0,0,0,0,0,3.156851851851852,0,-2.024797808,0.4893518518518518,0,0,31.661118669690097,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2815587014396219,0.7299777011247026,1786.8163677432792,0.09402751363215381,0.264000264000264,-0.678857822,6,4,5,4,0,0,0,0,2,0.42105263157894735,0,0,0,0,0,0,1,0,0,0.2631578947368421,1,0,0,194.8,238.87628
C=CC(N1N=C([N+]([O-])=O)C=C1[N+]([O-])=O)=O,0,9,0,0,0,0,1,1,7,0,9,1,3,0,0,0,0,2,0,0,212.12099999999998,0.42047176160344285,-0.357789257,11.030000000000001,0.310648148148148,-0.943055556,121.16999999999999,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,3.0887169312169314,0,0,0.7675850340136054,0.5986111111111112,0,0,0,-0.907592593,-1.538425926,0,0,0,0,0,0,0,0,0,0,0,3.156851851851852,0,-1.873741497,0.310648148148148,0,0,31.713673469387757,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.38064457918091427,0.6975420742993496,1556.2728700104915,0.5561187072186131,0.264000264000264,-0.678857822,6,4,5,4,0,0,0,0,2,0.42105263157894735,0,0,0,0,0,0,1,0,0,0.2631578947368421,1,0,0,255.1,236.4564
C=CCN1N=C([N+]([O-])=O)C([N+]([O-])=O)=C1,0,8,0,0,0,0,1,1,6,0,8,1,4,0,0,0,0,2,0,0,198.13799999999998,0.4672032673468341,-0.357562075,10.365744520030233,0.1891666666666667,-0.891148904,104.1,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,3.3840570672713532,0.1891666666666667,0,1.4310034013605442,0.9998148148148147,0,0,0,0,-1.366944444,0,0,0,0,0,0,0,0,0,0,0,3.4253703703703704,0,-1.733686697,1.0865740740740741,0,0,20.708989040060466,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.31068872584571094,0.7511469727027487,1520.1287179288652,0.5794249084038452,0.28263129737859466,-0.888269792,6,6,4,4,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0,0,0.25,1,0,0,201.2,285.23743
C=CCN1N=C([N+]([O-])=O)C=C1[N+]([O-])=O,0,8,0,0,0,0,1,1,6,0,8,1,4,0,0,0,0,2,0,0,198.13799999999998,0.4197856406389952,-0.35780251,10.420336356764928,0.05967592592592608,-0.785130385,104.1,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,3.35723544973545,0.05967592592592608,0,1.3648072562358275,0.8090277777777777,0,0,0,0,-0.962824074,0,0,0,0,0,0,0,0,0,0,0,3.4253703703703704,0,-1.517769274,0.9078703703703703,0,0,20.69496976568405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3130171513288351,0.7261220352900941,1528.2790707990537,0.5160912614870715,0.28263129737859466,-0.888269792,6,6,4,4,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0,0,0.25,1,0,0,217.4,283.87552
C12=NON=C1N3C(C4=NN=C(C5=CNN=C5)N42)=NN=C3C6=CNN=C6,2,13,0,0,0,0,6,6,11,2,13,6,2,0,2,0,0,0,0,0,334.2630000000001,0.22999334749135375,-0.284985068,4.964972127739984,0.4381897203325775,0.4381897203325775,156.66000000000003,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.697270953887115,0,0,0,0,2.5750638280003377,1.8238699924414215,0,0,0,0,0,0,5.500503425913779,0,0,0,32.855287264609956,0,0,3.4163657407407406,0,0,0,0,4.964972127739984,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0.18387241628429893,0.831981120282426,4604.415388085521,0.40128665063015106,0.5025982534710692,-1.244529009,12,6,1,12,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,4,0,0,228,408.7768
ClC1=C(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1NC3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O,2,26,0,0,0,3,0,3,18,2,27,3,12,0,2,0,0,8,8,2,654.7610000000002,0.3061901069682222,-0.337269668,11.842212055621147,0.1137499999999998,-1.406693377,369.17999999999995,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,1.0154027042915923,0,0,0,0,-16.93709591,0,0,0,0,0,0,3.760241727034656,0,0,0,0,0,0,-10.65004075,0,0,0,92.71043383554606,0,0,0,6.168402340360012,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.34130029871116,0.9536060591388504,13002.716570258171,1.348944581495469,0.21381847727644118,-0.574255339,18,7,16,10,0,0,0,0,8,0.6153846153846154,3,0,0,0,0,0,0,0,0,0.34615384615384615,0,0,0,236,284.42764
