,can_smiles,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MolWt,MaxPartialCharge,MinPartialCharge,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,c_NO2,NO2_content,benzene_ono2,benzene_1no2,benzene_2no2,benzene_3no2,benzene_4no2,six_N1_0no2,six_N1_1no2,six_N1_2no2,six_N1_3no2,six_N2_0no2,six_N2_1no2,six_N2_2no2,six_N2_3no2,six_N3_0no2,six_N3_1no2,six_N3_2no2,six_N3_3no2,six_N4_0no2,six_N4_1no2,five_N1_0no2,five_N1_1no2,five_N1_2no2,five_N1_3no2,five_N1_4no2,five_N2_0no2,five_N2_1no2,five_N2_2no2,five_N2_3no2,five_N2_4no2,five_N3_0no2,five_N3_1no2,five_N3_2no2,five_N3_3no2,five_N3_4no2,five_N4_0no2,five_N4_1no2,five_N4_2no2,five_N4_3no2,five_N4_4no2,ring_content,con_rings,axis_symmetry,count_3n,T,bde_gnn
10,O=[N+]([O-])N(c1nc(Nc2nnn[nH]2)nc(N(c2nnn[nH]2)[N+](=O)[O-])n1)c1nnn[nH]1,4,24,0,0,0,0,4,4,17,4,24,4,8,0,4,0,0,2,0,0,420.2340000000001,0.3139151765314676,-0.291407102,11.540919154698916,0.0823425820945651,-0.9785782,306.8399999999999,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,3,0,0,0,12,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.957591805,0,0,0,0,0,0,2.4667356386999244,6.623514266817838,0,0,0,41.23273022171832,0.428091458805744,-1.9571564,0,0,0,23.08183830939783,0,0,0,0,0,0,0.4708544195290355,0.5771487197810035,6754.941136264244,0.5106314800420907,0.6662954449187832,-0.380740254,6,4,4,20,2,0,0,0,0,0.2352941176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.6176470588235294,0,0,0,279.11,134.37114
11,O=[N+]([O-])c1c(I)c([N+](=O)[O-])c(I)c([N+](=O)[O-])c1I,0,9,0,0,0,1,0,1,6,0,12,1,3,0,0,0,0,3,3,0,590.7930000000001,0.3094536971483552,-0.258236272,10.851843688586545,0.2203703703703698,-0.861481481,129.42000000000002,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-2.508288889,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.584444444,0,0,0,32.55553106575964,0,0,0,0,0,4.34167120181406,0.5151034801675723,0.51660654529709,6445.709341434643,0.3620729743334264,0.0710908897024846,-0.162493462,6,0,6,3,0,0,0,0,3,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,367,258.45276
12,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,0,16,0,1,1,0,0,0,8,0,16,1,4,0,0,0,0,4,0,0,296.15600000000006,0.2121302706465247,-0.234539305,10.65655470521542,0.1973072562358275,-1.060694444,185.52,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,-3.798888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7892290249433114,-4.242777778,0,0,0,42.62621882086168,0,0,0,0,0,0,0.6369994862537834,0.9817997775065582,1787.1739946909547,1.1993902909019938,0.378179067788598,-0.216102324,4,8,8,8,4,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,279,146.83452
13,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1Nc1nnn[nH]1,3,13,0,0,0,0,2,2,9,3,13,2,4,0,3,0,0,2,0,0,241.12700000000004,0.4435400966946549,-0.357749776,10.596015684051398,0.0855555555555551,-0.879334845,181.45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.905231481,0,0,0,0,0,0,2.295046296296296,4.169374527588813,0,0,0,12.98027872260015,0,-1.734364135,0,0,0,21.1807813681028,0,0,0,0,0,0,0.4336431291957748,0.6542010257004416,1873.8542455716715,0.5138626441506584,0.5225462100884595,-0.364952909,4,3,4,9,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,279,238.77979
14,O=[N+]([O-])c1cn(-c2cc([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2)cn1,0,14,0,0,0,1,1,2,10,0,14,2,5,0,0,0,0,4,3,0,324.165,0.421956957408109,-0.35775673,10.94340262030738,0.2549999999999994,-1.279291646,190.38,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3.1333805744520027,0,0,0,0,-4.367842551,0,0,0,0,0,0,0,0,0,0,0,3.3889608528596624,0,-4.387826121,0.9046220710506424,0,0,43.33101925338036,0,0,0,0,0,0,0.227859688772743,0.8062129708408322,4757.383352020693,0.3745858294786102,0.2591272962842997,-0.592290963,9,4,8,6,0,0,0,0,4,0.5925925925925926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,238.0187
15,O=[N+]([O-])c1nonc1-c1nnc(N=Nc2nnc(-c3nonc3[N+](=O)[O-])o2)o1,0,20,0,0,0,0,4,4,18,0,20,4,6,0,0,0,0,2,0,0,392.16400000000016,0.4472826129468763,-0.398489071,10.764815906919637,0.4051718405452165,-0.86593301,266.6799999999999,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.02794154,0,0,0,0,0,0,0,0,0,0,6.960424067775259,26.582974875638044,0,-1.731866019,0,0,0,21.529631813839277,0,18.49047832102264,0,0,0,0,0.0674712452239302,0.9415229707679698,11326.055388822508,0.2415959014280427,0.4283922032619005,-0.32639406,8,0,8,12,0,0,0,0,2,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3571428571428571,0,0,0,278,214.3311
16,O=[N+]([O-])c1nonc1-c1nnc(/N=N/c2nnc(-c3nonc3[N+](=O)[O-])o2)o1,0,20,0,0,0,0,4,4,18,0,20,4,6,0,0,0,0,2,0,0,392.16400000000016,0.4472826129468763,-0.398489071,10.764815906919637,0.4051718405452165,-0.86593301,266.6799999999999,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,8,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.02794154,0,0,0,0,0,0,0,0,0,0,6.960424067775259,26.582974875638044,0,-1.731866019,0,0,0,21.529631813839277,0,18.49047832102264,0,0,0,0,0.1510626550061889,0.8585520804174712,8813.231204714823,0.1864155359903409,0.4283922032619005,-0.32639406,8,0,8,12,0,0,0,0,2,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3571428571428571,0,0,0,278,233.5106
17,O=[N+]([O-])c1n[nH]c(-c2n[nH]cc2[N+](=O)[O-])n1,2,11,0,0,0,0,2,2,7,2,11,2,3,0,2,0,0,2,0,0,225.124,0.4909757940262977,-0.389691281,10.54647156084656,0.1337037037037032,-0.820944822,156.53000000000003,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.045324074074074,0,0,0,0,-1.288337113,0,0,0,0,0,0,0,4.462403155706728,0,0,0,10.260367535903251,0,-1.508259637,0,0,0,20.847584325396824,0,0,0,0,0,0,0.2585326366613918,0.765113864236758,1921.3793349452533,0.2290863909999493,0.4353156482649561,-0.533039569,5,3,4,7,0,0,0,0,2,0.4210526315789473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,278,265.1789
18,[N-]=[N+]=C1C(n2nc([N+](=O)[O-])c(N)c2[N+](=O)[O-])=NN=C1n1nc([N+](=O)[O-])c(N)c1[N+](=O)[O-],4,22,0,1,1,0,2,2,16,2,22,3,4,0,0,2,0,4,0,0,436.2210000000002,0.4587038680253381,-0.38460838,11.29710829087272,0.1866301335348952,-1.16341716,321.36,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,2,2,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.563851096,-6.579642464,0,0,0,10.733615128124509,0,0,0,0,0,0,6.789346182917612,6.611474237843286,0,-4.614465918,0.3732602670697904,0,0,44.58930731592709,0,0,0,0,0,0,0.219262553375136,0.8301802951847687,8415.201507862403,0.4767619152368226,0.4493135360287559,-0.440143872,9,4,8,14,0,0,0,0,4,0.4571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571428571428,0,0,0,278,283.66864
19,O=[N+]([O-])c1nnn2c1-c1c([N+](=O)[O-])nnn1CC2,0,12,0,1,1,0,2,2,10,0,12,3,2,2,0,0,0,2,0,0,252.15,0.4200101483666524,-0.357684843,10.816625094482236,0.0389351851851846,-0.744822373,147.7,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0.5906500377928947,0,0,0,0,0,0,0,-1.158703704,0,0,0,0,0,0,0,0,0,0,0,13.978049886621315,0,-1.489644747,2.479814814814815,0,0,21.633250188964475,0,0,0,0,0,0,0.4646533091320257,0.6275716329959369,1732.8627930428654,0.4852217282677676,0.444180051556613,-0.634542931,6,4,4,8,0,0,0,0,2,0.3636363636363636,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2727272727272727,3,1,0,277,286.0677
