can_smiles,bde_gnn,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,NumRotatableBonds,fr_aryl_methyl,fr_NH1,fr_NH2,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,MaxPartialCharge,MinPartialCharge,MinEStateIndex,TPSA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,NPR1,NPR2,PMI3,PBF,Nper,OB,C,H,O,N,N_NO2,O_NO2,c_3NO2,c_2NO2,NO2_content,benzene,ring_content,Td
[N-]=[N+]=NC1([N+](=O)[O-])COCN([N+](=O)[O-])C1,140.50287,0,11,0,1,1,0,0,6,0,11,1,3,0,0,0,2,0,0,0.3461033964629989,-0.347642725,-2.124930556,147.51000000000002,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,-1.463295068,0,0,0,0,0,0,0,0,0,-2.124930556,0,0,0,0,0,0,0,0,2.957638888888889,0,0.4731944444444445,-1.729479875,0,0,0,21.00892431972789,4.650972222222222,0,0,0,0,0,0.3537355898492731,0.92185456749932,1388.5272788027096,0.802701183110998,0.3850932246514676,-0.440106542,4,6,5,6,1,0,0,0,0.5333333333333333,0,0.4,158
[N-]=[N+]=Nc1[nH]c(-c2nc([N+](=O)[O-])c(N=[N+]=[N-])[nH]2)nc1[N+](=O)[O-],239.08199,2,16,0,0,0,0,2,8,2,16,2,5,0,2,0,2,0,0,0.3917836322981397,-0.357747974,-0.920923879,241.16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.220991014,0,0,0,0,0,0,0,4.555184712773999,0,0,6.076081191735954,7.003700869236583,0,-1.841847758,0,0,0,21.51687662025324,0,0,0,0,0,0,0.1920094786181193,0.8183561607553399,4732.812570289932,0.1554459183027863,0.5487291041997373,-0.470339232,6,2,4,12,0,0,0,0,0.3636363636363636,0,0.4545454545454545,82
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1CN(Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1N=[N+]=[N-])[N+](=O)[O-],193.0046,0,26,0,0,0,0,2,16,0,26,2,11,0,0,0,5,0,0,0.4678305931450106,-0.357561935,-1.434414506,352.1,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,2,1,5,2,0,0,5,0,0,0,0,0,0,0,0,-2.485721372,0,0,0,0,0,0,0,-7.887388435,0,0,0,0,0,0,0,0,0,0,5.759876045204328,6.376397077349458,-0.006258503,-6.577763487,0.3856075207860923,0,0,55.88239530480374,0,0,0,0,0,0,0.4295592920435108,0.9142062434334088,6275.718154367249,1.1019666894414162,0.4625977340971701,-0.264341562,8,4,10,16,1,0,0,0,0.5882352941176471,0,0.2941176470588235,169
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1N,244.42072,2,12,0,0,0,0,1,8,1,12,1,3,0,0,1,2,0,0,0.4699634209372594,-0.357561015,-1.099317838,178.88000000000002,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.847777778,0,0,0,5.035648148148148,0,0,0,0,0,0,2.8403703703703704,3.0387962962962964,0,-2.198021542,0.2737962962962963,0,0,20.77507322373394,0,0,0,0,0,0,0.4192082297321414,0.6230382050827261,1425.7038413279745,0.1941606264411175,0.5231175940327228,-0.224193255,3,2,4,8,0,0,0,0,0.5333333333333333,0,0.3333333333333333,121
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],115.37693,1,21,0,0,0,0,1,14,1,21,1,9,0,1,0,5,0,0,0.7184836831830625,-0.357561015,-4.052443429,294.31,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,5,1,0,0,5,0,0,0,0,0,0,0,0,-1.759982993,0,0,0,0,0,0,0,-4.151701625,0,-4.052443429,0,0,0,0,1.5603703703703704,0,0,0,2.7289559712774,2.962750377928949,0,-8.386683201,-0.082106481,0,0,53.969984646636426,0,0,0,0,0,0,0.3301163416067289,0.830406199417802,4392.089486818185,0.805578454472587,0.4083299305839117,-0.063635833,5,3,10,11,0,0,1,0,0.6923076923076923,0,0.1923076923076923,117
[N-]=[N+]=Nc1c([N+](=O)[O-])c(N=[N+]=[N-])[n+]([O-])c(N=[N+]=[N-])[n+]1[O-],253.18996,0,16,0,0,0,0,1,7,0,16,1,4,0,0,0,1,0,0,0.5043818148293641,-0.710179198,-1.331027967,243.30000000000004,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.019268707,0,0,0,0,0,0,0,0,0,0,8.13401738473167,0,0,-1.267167423,-1.109191232,0,0,10.796924288233813,0,0,0,0,0,0,0.468054378903753,0.567702881742063,2664.4540300045187,0.2200156105819649,0.5997344033356656,-0.228470249,4,0,4,12,0,0,0,0,0.2,0,0.3,181
[N-]=[N+]=Nc1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],214.23936,1,11,0,0,0,0,1,6,1,11,1,3,0,1,0,2,0,0,0.4294471700846429,-0.357796323,-0.992546296,163.72000000000003,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.424537037,0,0,0,0,0,0,0,1.7843518518518515,0,0,2.812546296296296,3.024907407407408,0,-1.960787037,0,0,0,20.51058484504913,0,0,0,0,0,0,0.332460257336954,0.6968091623048936,1325.7391315441007,0.1995144552582897,0.4922495805832655,-0.200918196,3,1,4,7,0,0,0,0,0.5714285714285714,0,0.3571428571428571,160
[N-]=[N+]=Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])c(N=[N+]=[N-])n3nnn12,261.28467,0,18,0,0,0,0,3,12,0,18,3,4,0,0,0,2,0,0,0.3942856874096901,-0.357746969,-0.943562768,244.18,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.898749895,-0.719278156,0,0,0,0,0,0,0,0,0,6.214970080624843,14.174258314436884,0,-1.887125535,1.3686130007558577,0,0,21.962772311863223,0,0,0,0,0,0,0.2132805849413187,0.7982400590889397,4747.087835480192,0.1637431223978547,0.5900770712909441,-0.385356455,6,0,4,14,0,0,0,0,0.3333333333333333,0,0.6666666666666666,111
[N-]=[N+]=Nc1c([N+](=O)[O-])ncn1N=Nn1cnc([N+](=O)[O-])c1N=[N+]=[N-],215.35611,0,18,0,0,0,0,2,12,0,18,2,6,0,0,0,2,0,0,0.3933289251537027,-0.357747257,-0.913199907,244.16,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.6472659989921892,0,0,0,0,-2.713277169,0,0,0,0,0,0,0,0,0,0,13.006875787351976,6.737892416225749,0,-1.826399815,1.284831821617536,0,0,21.461087848005235,0,0,0,0,0,0,0.1369611436794985,0.8714847317525996,6036.934559242771,0.1472232968528888,0.5865172843052762,-0.430910658,6,2,4,14,0,0,0,0,0.3333333333333333,0,0.4166666666666667,154
[N-]=[N+]=Nc1c([N+](=O)[O-])nn(Cc2nnn[nH]2)c1[N+](=O)[O-],269.32486,1,15,0,0,0,0,2,10,1,15,2,5,0,1,0,2,0,0,0.4296495000731275,-0.357793071,-0.993899282,207.32,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,-0.32827192,0,0,0,0,0,0,0,-2.457560941,0,0,0,0,0,0,0,2.312781005920887,0,0,2.9510374149659864,13.38005889392794,0,-1.944484127,0.657083333333333,0,0,21.72165162824389,0,0,0,0,0,0,0.4167971861263271,0.7215810031710255,2592.471353032774,0.7481384555904157,0.5477464147507398,-0.426815388,5,3,4,11,0,0,0,0,0.4,0,0.5,148
